Team,Season,off_pass_att,off_pass_cmp,off_cmp_pct,off_yds_per_att,off_pass_yds,off_pass_td,off_int,off_qb_rating,off_first_downs,off_first_down_pct,off_pass_20plus,off_pass_40plus,off_pass_long,off_sacks_taken,off_sack_yds_lost,off_rush_att,off_rush_yds,off_rush_avg,off_rush_td,off_rush_20plus,off_rush_40plus,off_rush_long,off_rush_1st,off_rush_1st_pct,off_rush_fum,off_rec,off_rec_yds,off_yds_per_rec,off_rec_td,off_rec_20plus,off_rec_40plus,off_rec_long,off_rec_1st,off_rec_1st_pct,off_rec_fum,off_total_td,off_2pt_conv,off_3rd_att,off_3rd_md,off_4th_att,off_4th_md,off_scrim_plays,def_pass_att,def_pass_cmp,def_pass_cmp_pct,def_pass_yds_per_att,def_pass_yds,def_pass_td_allowed,def_pass_int_made,def_opp_qb_rating,def_pass_1st,def_pass_1st_pct,def_pass_20plus_allowed,def_pass_40plus_allowed,def_pass_long_allowed,def_rush_att,def_rush_yds,def_rush_avg,def_rush_td_allowed,def_rush_20plus_allowed,def_rush_40plus_allowed,def_rush_long_allowed,def_rush_1st,def_rush_1st_pct,def_rush_fum_recovered,def_rec_allowed,def_rec_yds_allowed,def_yds_per_rec_allowed,def_rec_td_allowed,def_rec_20plus_allowed,def_rec_40plus_allowed,def_rec_long_allowed,def_rec_1st,def_rec_1st_pct,def_rec_fum_recovered,def_passes_defended,def_fum_td,def_safety,def_int_td,def_sacks,def_comb_tackles,def_assist_tackles,def_solo_tackles,def_3rd_att,def_3rd_md,def_4th_att,def_4th_md,def_scrim_plays,def_forced_fumbles,def_fum_recovered,def_int_yds,def_longest_play,st_fg_made,st_fg_pct,st_xp_made,st_xp_pct,st_kick_return_td,st_punt_return_td,made_playoffs,won_playoff,championship_win,superbowl_win,preseaon_power_rank,normalized_power_rank
Jaguars,2022,596,394,66.1,7,4148,25,9,93.9,208,34.9,55,3,59T,28,189,448,2116,4.7,16,15,6,62,114,25.4,9,394,4148,10.5,25,55,3,59,208,52.8,2,45,4,215,90,27,14,1072,601,385,64.1,7.1,4258,25,14,89.2,211,35.1,52,8,62,470,1951,4.2,14,10,1,50,114,24.3,9,385,4258,11.1,25,52,8,62,211,54.8,4,95,2,0,2,35,1099,391,673,220,95,31,10,1106,17,13,232,59,30,85.7,36,97.3,0,0,1,0,0,0,30,0.033333333
Jets,2022,627,357,56.9,6.4,4040,15,14,75,191,30.5,47,10,79,42,317,405,1686,4.2,13,11,2,62,79,19.5,4,357,4040,11.3,15,47,10,79,191,53.5,6,29,0,240,83,28,11,1074,556,347,62.4,6.3,3526,15,12,80.5,166,29.9,38,7,56T,492,2068,4.2,14,11,1,60,117,23.8,4,347,3526,10.2,15,38,7,56T,166,47.8,2,73,0,2,0,45,1111,395,667,244,93,26,11,1093,11,4,69,27,30,81.1,28,96.6,0,0,0,0,0,0,25,0.04
Lions,2022,588,383,65.1,7.6,4444,29,7,99.3,228,38.8,57,12,81,24,163,480,2179,4.5,23,12,7,58,114,23.8,5,383,4444,11.6,29,57,12,81,228,59.5,2,54,4,211,86,37,20,1092,560,353,63,7.9,4446,26,12,94.2,209,37.3,60,12,54,477,2491,5.2,22,22,4,67T,135,28.3,5,353,4446,12.6,26,59,12,54,209,59.2,7,62,0,1,1,39,1045,331,654,204,92,27,15,1076,14,10,157,38T,24,80,47,95.9,0,1,0,0,0,0,27,0.037037037
Packers,2022,563,364,64.6,6.9,3890,27,12,91.9,186,33,55,7,63,32,258,456,2113,4.6,12,10,1,46T,116,25.4,5,364,3890,10.7,27,56,7,63,186,51.1,8,42,2,200,79,31,12,1051,478,314,65.7,7.4,3553,22,17,88.3,163,34.1,45,14,84T,479,2372,5,18,17,3,55T,129,26.9,6,314,3553,11.3,22,45,14,84T,163,51.9,5,63,0,1,2,34,1016,349,642,194,73,19,11,991,12,7,351,75,25,86.2,37,94.9,1,0,0,0,0,0,6,0.166666667
Panthers,2022,457,267,58.4,7.1,3246,16,13,80.2,138,30.2,49,12,75,36,250,483,2210,4.6,16,15,3,60T,119,24.6,10,267,3246,12.2,16,49,12,75,138,51.7,4,36,1,202,64,21,12,976,580,383,66,7.1,4098,25,10,93.7,194,33.4,51,7,63T,488,2085,4.3,17,16,2,52,125,25.6,6,383,4098,10.7,25,51,7,63T,194,50.6,3,62,1,0,2,35,1104,404,687,231,95,18,8,1103,9,6,189,54,33,94.3,30,93.8,0,0,0,0,0,0,23,0.043478261
Patriots,2022,540,358,66.3,7.1,3815,19,14,87.7,166,30.7,57,9,53T,41,279,425,1812,4.3,12,11,2,49,98,23.1,8,358,3815,10.7,19,57,9,53,166,46.4,7,39,1,215,75,13,5,1006,596,364,61.1,6.8,4029,28,19,83.5,194,32.6,54,5,63,441,1793,4.1,7,8,0,38,90,20.4,5,364,4029,11.1,28,54,5,63,194,53.3,6,69,2,0,5,54,1095,414,635,241,97,27,10,1091,13,11,383,69,32,86.5,32,91.4,0,1,0,0,0,0,18,0.055555556
Raiders,2022,586,359,61.3,7.1,4182,28,17,86.7,193,32.9,58,10,60T,35,248,428,2059,4.8,12,9,2,86T,122,28.5,5,359,4182,11.6,28,58,10,60,193,53.8,5,43,0,208,83,24,13,1049,590,399,67.6,7.3,4321,25,6,98.8,206,34.9,58,5,67,460,2087,4.5,20,13,1,66T,126,27.4,7,399,4321,10.8,25,57,5,67,206,51.6,4,55,2,0,1,27,1083,391,650,206,86,20,11,1077,10,7,141,73T,34,91.9,35,97.2,0,0,0,0,0,0,11,0.090909091
Rams,2022,531,347,65.4,6.6,3506,16,15,82.3,181,34.1,38,4,75T,59,398,411,1661,4,15,8,1,42,89,21.6,5,347,3506,10.1,16,38,4,75,181,52.2,2,32,0,211,83,19,15,1001,556,375,67.4,7.4,4092,23,16,90.8,203,36.5,44,7,57T,455,1956,4.3,12,10,2,72T,106,23.3,5,375,4092,10.9,23,44,7,57T,203,54.1,1,58,0,0,1,38,1091,408,643,208,84,20,13,1049,10,6,240,85T,28,93.3,31,96.9,0,0,0,0,0,0,2,0.5
Ravens,2022,488,300,61.5,6.6,3202,19,13,82.5,149,30.5,33,6,75T,38,162,526,2720,5.2,14,18,3,79T,167,31.8,9,300,3202,10.7,19,33,6,75T,149,49.7,6,34,2,218,91,20,8,1052,593,394,66.4,7.2,4252,20,14,88.7,206,34.7,50,10,60T,406,1566,3.9,11,5,0,31,91,22.4,3,394,4252,10.8,20,50,10,60T,206,52.3,7,77,0,0,0,48,1037,337,663,209,73,24,15,1047,14,10,105,33,37,86,31,96.9,1,0,0,0,0,0,10,0.1
Saints,2022,512,338,66,7.8,3969,24,14,93.6,181,35.4,45,13,68T,38,277,465,1982,4.3,12,7,3,60,103,22.2,8,338,3969,11.7,24,45,13,68,181,53.6,7,37,3,219,88,11,4,1015,536,322,60.1,6.4,3413,17,7,83.8,159,29.7,34,8,78T,492,2218,4.5,14,10,3,69T,122,24.8,7,322,3413,10.6,17,34,8,78T,159,49.4,5,67,0,0,1,48,1064,376,659,233,97,19,8,1076,13,7,110,41T,23,74.2,33,100,0,0,0,0,0,0,13,0.076923077
Seahawks,2022,573,399,69.6,7.5,4282,30,12,100,206,36,50,6,54,46,348,425,2042,4.8,12,18,4,74,106,24.9,5,399,4282,10.7,30,50,6,54,206,51.6,4,44,0,201,76,21,12,1044,547,343,62.7,7.1,3891,23,14,87.3,188,34.4,53,5,81,525,2554,4.9,21,17,7,86T,130,24.8,6,343,3891,11.3,23,53,5,81,188,54.8,4,81,0,0,1,45,1104,355,720,227,96,28,11,1117,18,11,163,40T,34,91.9,41,97.6,0,0,0,0,0,0,24,0.041666667
Steelers,2022,571,364,63.8,6.4,3661,12,14,78.7,189,33.1,44,3,57T,38,250,500,2073,4.2,16,8,0,36,129,25.8,6,364,3661,10.1,12,44,3,57,189,51.9,2,29,3,236,106,15,11,1109,542,332,61.2,7.5,4066,29,20,86.8,196,36.2,55,7,98T,442,1838,4.2,7,12,1,44,95,21.5,6,332,4066,12.2,29,55,7,98T,196,59,2,82,0,0,1,40,1035,404,599,216,85,21,13,1024,9,3,152,34,34,77.3,26,100,0,0,0,0,0,0,21,0.047619048
Texans,2022,579,352,60.8,6.3,3642,20,19,76.8,159,27.5,55,7,58T,38,298,398,1476,3.7,7,7,2,75,90,22.6,10,352,3642,10.4,20,55,7,58,159,45.2,2,29,1,221,67,26,13,1015,522,336,64.4,7.2,3775,15,16,82.7,196,37.6,51,3,54T,573,2894,5,25,19,5,62T,150,26.2,14,336,3775,11.2,15,51,3,54T,196,58.3,3,65,0,1,1,39,1173,381,729,221,86,21,13,1134,14,11,253,39T,29,93.6,24,100,0,0,0,0,0,0,29,0.034482759
Titans,2022,456,285,62.5,7.1,3227,16,11,85.3,153,33.6,41,11,69T,49,313,487,2131,4.4,16,13,4,56,104,21.4,7,285,3227,11.3,16,41,11,69T,153,53.7,2,34,1,219,80,17,9,992,671,439,65.4,7.4,4935,29,14,93,215,32,63,9,75T,390,1307,3.4,9,5,1,68,93,23.8,12,439,4935,11.2,29,63,9,75T,215,49,1,78,0,0,1,39,1065,344,688,225,77,26,19,1100,11,6,149,76T,20,83.3,32,97,0,0,0,0,0,0,16,0.0625
Vikings,2022,672,448,66.7,7.2,4818,30,15,93.1,244,36.3,50,10,66,47,334,404,1661,4.1,18,5,3,81,93,23,5,448,4818,10.8,30,49,10,66,244,54.5,3,50,3,226,93,19,9,1123,617,408,66.1,7.7,4756,23,15,91.6,224,36.3,61,9,68T,463,2093,4.5,18,12,3,48,113,24.4,6,408,4756,11.7,23,61,9,68T,224,54.9,3,87,1,0,0,38,1097,341,719,215,82,29,11,1118,11,10,186,39,26,78.8,40,87,1,0,0,0,0,0,20,0.05
49ers,2021,514,343,66.7,8.6,4437,26,14,99.2,200,38.9,63,11,83,33,216,499,2166,4.3,22,12,1,49T,130,26,5,343,4437,12.9,26,63,11,83,200,58.3,9,50,2,199,80,20,10,1035,545,372,68.3,7.1,3874,25,9,97,180,33,54,11,91,439,1760,4,17,11,1,73T,97,22.1,11,372,3874,10.4,25,54,11,91,180,48.4,9,54,0,0,2,48,1053,381,680,220,88,25,11,1043,22,11,136,40,27,84.4,42,91.3,0,0,1,1,0,0,9,0.111111111
Bears,2021,542,332,61.2,6.7,3635,16,20,75.5,180,33.2,40,7,64T,58,428,475,2018,4.2,14,13,1,41T,119,25,5,332,3635,11,16,40,7,64,180,54.2,1,33,3,216,75,36,15,1075,477,314,65.8,7.6,3623,31,8,103.3,170,35.6,48,12,83,483,2127,4.4,14,12,0,39,116,24,5,314,3623,11.5,31,48,12,83,170,54.1,2,56,1,1,1,49,1014,353,672,211,81,24,12,1009,14,8,135,53T,26,86.7,27,96.4,0,1,0,0,0,0,21,0.047619048
Bengals,2021,555,384,69.2,8.7,4806,36,14,106.9,208,37.5,63,16,82T,55,403,436,1742,4,16,8,1,46T,96,22,2,384,4806,12.5,36,63,16,82,208,54.2,5,54,1,207,82,20,13,1046,626,420,67.1,7.2,4498,26,13,93.1,213,34,65,8,60T,407,1742,4.3,15,8,2,70T,107,26.3,6,420,4498,10.7,26,65,8,60T,213,50.7,6,63,1,0,1,42,1064,381,676,221,92,18,7,1075,17,8,266,65,29,85.3,47,95.9,0,0,1,1,1,0,30,0.033333333
Bills,2021,655,415,63.4,6.8,4450,36,16,91.3,236,36,51,8,61,27,166,461,2209,4.8,20,18,2,46T,134,29.1,8,415,4450,10.7,36,51,8,61,236,56.9,8,57,3,222,103,22,11,1143,530,297,56,5.8,3047,12,19,65.4,138,26,31,6,73T,442,1866,4.2,19,12,4,76T,108,24.4,7,297,3047,10.3,12,31,6,73T,138,46.5,4,80,0,0,1,42,954,293,614,214,66,35,16,1014,12,11,238,26T,28,87.5,51,100,0,0,1,0,0,0,3,0.333333333
Broncos,2021,541,354,65.4,7.1,3856,20,9,91.7,179,33.1,46,7,64,40,263,455,2025,4.4,16,10,3,70,124,27.2,7,354,3856,10.9,20,46,7,64T,179,50.6,2,37,1,213,82,28,16,1036,562,341,60.7,6.9,3901,22,13,85,192,34.2,48,11,59,441,1892,4.3,9,10,0,35,99,22.4,4,341,3901,11.4,22,48,11,59,192,56.3,0,73,0,0,1,36,999,362,617,225,101,26,11,1039,6,6,221,70T,26,83.9,33,97.1,0,0,0,0,0,0,22,0.045454545
Browns,2021,520,320,61.5,7,3619,21,14,84.6,177,34,47,9,71T,49,299,485,2471,5.1,20,18,2,70,138,28.4,5,320,3619,11.3,21,47,8,71,177,55.3,3,43,3,212,83,29,12,1054,576,367,63.7,6.4,3712,29,13,89.4,184,31.9,45,5,75T,437,1857,4.2,13,9,2,57T,108,24.7,6,367,3712,10.1,29,45,5,75T,184,50.1,4,79,1,0,1,43,1036,356,650,219,86,25,16,1056,12,6,148,99T,16,72.7,37,94.9,0,0,0,0,0,0,8,0.125
Buccaneers,2021,731,492,67.3,7.4,5383,43,12,101.6,273,37.4,76,10,62T,23,154,385,1672,4.3,18,9,2,55,106,27.5,3,492,5383,10.9,43,76,10,62,273,55.5,4,63,1,223,105,16,9,1139,680,445,65.4,6.4,4347,26,17,85.6,214,31.5,55,5,75T,366,1573,4.3,11,11,1,55,94,25.7,4,445,4347,9.8,26,55,5,75T,214,48.1,8,85,0,0,2,47,998,292,701,226,87,28,13,1093,16,12,177,31T,25,80.6,56,94.9,0,0,1,0,0,0,1,1
Cardinals,2021,591,415,70.2,7.8,4619,27,11,100.6,214,36.2,62,11,77T,39,343,496,2076,4.2,23,10,3,57T,127,25.6,16,415,4619,11.1,27,62,11,77,214,51.6,2,52,0,221,100,29,17,1126,561,367,65.4,6.9,3872,30,13,93.5,192,34.2,43,7,64T,426,1952,4.6,10,8,2,62T,109,25.6,6,367,3872,10.6,30,43,7,64T,192,52.3,6,73,1,0,1,41,998,329,644,207,79,30,14,1028,21,14,247,77T,30,81.1,47,95.9,0,0,0,0,0,0,18,0.055555556
Chargers,2021,674,443,65.7,7.4,5014,38,15,97.4,256,38,53,15,72T,31,214,423,1834,4.3,18,7,1,75,112,26.5,3,443,5014,11.3,38,53,15,72,256,57.8,5,58,7,221,100,34,22,1128,559,357,63.9,7.1,3992,27,11,93,199,35.6,53,12,71T,509,2361,4.6,22,13,1,52T,144,28.3,4,357,3992,11.2,27,53,11,71T,199,55.7,5,56,1,0,0,35,1105,395,677,216,107,22,7,1103,19,10,70,26,24,88.9,40,85.1,1,0,0,0,0,0,12,0.083333333
Chiefs,2021,675,448,66.4,7.3,4937,37,13,98.1,267,39.6,58,11,75T,28,146,431,1955,4.5,16,9,1,51,119,27.6,8,448,4937,11,37,58,11,75,267,59.6,4,57,2,205,107,15,10,1134,610,401,65.7,7.4,4482,27,15,92,209,34.3,52,13,72T,419,1999,4.8,15,11,1,47T,121,28.9,10,401,4482,11.2,27,52,12,72T,209,52.1,5,69,2,0,2,31,1016,351,674,199,80,31,19,1060,18,13,160,75,28,87.5,50,94.3,0,0,1,1,0,0,2,0.5
Colts,2021,521,324,62.2,6.9,3588,27,8,93.5,167,32,42,9,76T,32,227,499,2540,5.1,22,19,5,83T,154,30.9,7,324,3588,11.1,27,42,9,76,167,51.5,5,52,2,210,86,29,18,1052,597,390,65.3,7,4203,32,19,90.5,213,35.7,43,8,69T,420,1854,4.4,10,10,2,66T,101,24,10,390,4203,10.8,32,43,8,69T,213,54.6,4,69,1,1,0,33,1020,308,662,210,85,21,12,1050,18,14,175,32,29,82.9,46,97.9,0,0,0,0,0,0,16,0.0625
Cowboys,2021,647,444,68.6,7.7,4963,40,11,104.8,248,38.3,63,9,73T,33,163,473,2119,4.5,15,11,2,58,111,23.5,8,444,4963,11.2,40,63,8,73,248,55.9,4,64,6,228,99,24,14,1153,612,364,59.5,7.1,4346,24,26,76.6,191,31.2,62,14,75T,429,1918,4.5,13,14,0,33,99,23.1,3,364,4346,11.9,24,62,14,75T,191,52.5,4,83,1,0,5,41,991,317,664,223,76,26,16,1082,13,8,405,66,29,82.9,47,88.7,1,0,0,0,0,0,19,0.052631579
Dolphins,2021,615,404,65.7,6.4,3936,21,14,85.4,206,33.5,45,8,65T,40,285,442,1568,3.6,12,5,0,30T,87,19.7,5,404,3936,9.7,21,45,8,65,206,51,2,39,2,233,95,22,12,1097,608,373,61.4,7,4251,23,14,85.4,199,32.7,62,7,64,425,1867,4.4,16,13,1,46T,106,24.9,6,373,4251,11.4,23,62,7,64,199,53.4,8,91,2,0,3,48,1053,380,627,231,95,18,11,1081,14,12,175,85,23,74.2,34,97.1,0,0,0,0,0,0,14,0.071428571
Eagles,2021,494,307,62.2,7.3,3585,20,10,89.2,167,33.8,51,5,91T,31,181,550,2715,4.9,25,17,0,38T,163,29.6,6,307,3585,11.7,20,51,5,91T,167,54.4,2,50,5,221,101,24,11,1086,589,409,69.4,6.8,3976,28,12,95.4,208,35.3,38,7,64,458,1834,4,18,10,0,38,115,25.1,6,409,3976,9.7,28,38,7,64,208,50.9,3,56,3,0,2,29,1122,477,641,217,93,29,14,1065,13,4,142,51,30,90.9,44,100,0,0,0,0,0,0,25,0.04
Falcons,2021,573,377,65.8,7,3987,20,15,86.6,196,34.2,44,7,64,40,274,393,1451,3.7,11,2,0,39T,75,19.1,9,377,3987,10.6,20,44,7,64T,196,52,7,33,1,211,82,24,10,1006,577,391,67.8,7.1,4104,31,12,97.4,214,37.1,51,0,38,519,2242,4.3,19,7,0,27,143,27.6,8,391,4104,10.5,31,51,0,38,214,54.7,3,77,0,1,2,18,1149,446,678,217,105,22,11,1114,14,8,202,66,27,93.1,30,100,0,0,0,0,0,0,26,0.038461538
Commanders,2021,550,356,64.7,6.8,3746,21,15,85.8,181,32.9,42,7,73T,43,305,477,2061,4.3,13,8,0,38,129,27,10,356,3746,10.5,21,42,7,73,181,50.8,4,37,2,224,87,32,16,1070,597,400,67,7.6,4520,34,11,100.8,220,36.8,51,10,72T,430,1775,4.1,14,8,2,46,101,23.5,6,400,4520,11.3,34,51,10,72T,220,55,5,61,0,0,2,38,1055,393,649,229,111,20,12,1065,9,7,120,31,28,84.8,25,86.2,1,0,0,0,0,0,20,0.05
Giants,2021,593,351,59.2,5.8,3463,15,20,70.1,171,28.8,31,6,60T,38,267,419,1688,4,8,9,2,46,90,21.5,4,351,3463,9.9,15,31,6,60,171,48.7,4,24,4,230,84,30,13,1050,611,402,65.8,6.6,4044,27,15,89,216,35.4,42,6,59T,492,2193,4.5,15,5,1,70T,126,25.6,3,402,4044,10.1,27,42,6,59T,216,53.7,4,83,0,1,1,34,1181,492,662,226,90,23,15,1137,12,7,135,41T,29,87.9,17,100,0,0,0,0,0,0,24,0.041666667
Jaguars,2021,604,361,59.8,6.1,3674,12,17,72.1,178,29.5,44,5,58,32,238,392,1755,4.5,13,7,2,66T,92,23.5,6,361,3674,10.2,12,44,5,58,178,49.3,5,28,2,212,76,31,18,1028,543,377,69.4,7.6,4111,24,7,100.8,198,36.5,55,7,55,493,2127,4.3,22,12,1,52T,124,25.2,4,377,4111,10.9,24,55,7,55,198,52.5,3,50,0,0,0,32,1095,400,692,221,95,21,14,1068,9,2,57,23,21,77.8,18,81.8,1,0,0,0,0,0,29,0.034482759
Jets,2021,603,357,59.2,6.6,3959,20,20,76,195,32.3,52,6,62T,53,418,380,1667,4.4,14,9,2,55,87,22.9,1,357,3959,11.1,20,52,6,62,195,54.6,6,36,4,212,77,29,14,1036,587,401,68.3,8,4682,28,7,103.2,234,39.9,73,9,65T,525,2351,4.5,28,16,3,78T,129,24.6,10,401,4682,11.7,28,73,9,65T,234,58.4,5,61,0,0,1,33,1168,413,705,223,99,21,13,1145,13,7,114,32,21,77.8,23,85.2,1,0,0,0,0,0,28,0.035714286
Lions,2021,593,396,66.8,6.6,3884,23,14,88.1,193,32.6,49,5,75,36,286,427,1886,4.4,12,12,2,57,104,24.4,6,396,3884,9.8,23,48,5,75,193,48.7,2,35,5,213,74,41,21,1056,544,359,66,8,4361,31,11,101,211,38.8,56,11,79T,518,2296,4.4,19,14,1,48,135,26.1,3,359,4361,12.2,31,56,11,79T,211,58.8,6,68,0,0,0,30,1103,401,687,204,92,14,9,1092,10,8,108,50,26,86.7,27,96.4,0,0,0,0,0,0,31,0.032258065
Packers,2021,593,402,67.8,7.6,4526,39,7,107.4,235,39.6,61,11,75,33,211,446,1900,4.3,13,7,1,57,109,24.4,5,402,4526,11.3,39,61,11,75,235,58.5,5,54,1,202,88,22,13,1072,603,379,62.8,6.7,4021,31,18,86.9,194,32.2,44,15,79T,395,1855,4.7,13,8,0,38,120,30.4,5,379,4021,10.6,31,44,15,79T,194,51.2,0,74,0,0,2,39,946,275,671,203,87,33,15,1037,10,8,164,55T,25,73.5,49,96.1,0,0,1,0,0,0,4,0.25
Panthers,2021,599,348,58.1,6,3573,14,21,68.5,174,29,36,5,64,52,334,455,1842,4,17,8,0,33T,118,25.9,10,348,3573,10.3,14,36,5,64,174,50,1,32,3,235,84,34,14,1106,515,337,65.4,6.9,3559,26,9,95,170,33,46,7,62,474,1935,4.1,16,9,2,55T,112,23.6,9,337,3559,10.6,26,46,7,62,170,50.4,2,52,0,1,0,39,1032,372,664,217,82,21,12,1028,14,7,103,29,26,89.7,26,92.9,0,0,0,0,0,0,27,0.037037037
Patriots,2021,535,364,68,7.7,4098,24,13,95.5,187,35,60,8,75,28,241,489,2151,4.4,24,11,1,64T,139,28.4,7,364,4098,11.3,24,60,8,75,187,51.4,5,51,3,209,91,17,11,1052,538,319,59.3,6.4,3437,21,23,73.3,176,32.7,38,4,67T,464,2103,4.5,9,13,3,75,111,23.9,6,319,3437,10.8,21,38,4,67T,176,55.2,3,89,0,0,3,36,1036,360,612,211,77,32,17,1038,11,6,322,88,36,92.3,42,89.4,0,0,0,0,0,0,13,0.076923077
Raiders,2021,628,429,68.3,7.7,4808,23,14,93.8,217,34.6,67,10,61T,40,241,414,1617,3.9,14,7,0,31,95,23,9,429,4808,11.2,23,67,10,61,217,50.6,5,37,0,206,77,19,12,1082,606,400,66,6.6,3996,29,6,96.4,202,33.3,43,10,52,462,1943,4.2,18,13,1,51T,109,23.6,7,400,3996,10,29,43,10,52,202,50.5,3,74,0,1,0,35,1096,412,662,230,91,29,21,1103,13,9,68,35,40,93,30,90.9,0,0,0,0,0,0,23,0.043478261
Rams,2021,607,406,66.9,8.1,4893,41,18,101.6,233,38.4,65,18,79T,31,251,420,1683,4,10,3,0,39T,99,23.6,3,406,4893,12,41,65,18,79,233,57.4,2,52,2,205,90,19,10,1058,625,416,66.6,7.2,4476,17,19,83.8,214,34.2,53,10,63T,443,1754,4,18,4,2,54,111,25.1,6,416,4476,10.8,17,53,10,63T,214,51.4,4,72,0,0,0,50,1153,432,657,223,92,32,17,1118,15,6,192,34,32,94.1,48,98,0,1,1,1,1,1,6,0.166666667
Ravens,2021,611,396,64.8,7,4267,21,18,84.4,209,34.2,54,6,49T,57,306,517,2479,4.8,18,15,1,46,159,30.8,7,396,4267,10.8,21,54,6,49T,209,52.8,6,41,2,225,82,27,18,1185,621,397,63.9,8,4986,31,9,99.4,232,37.4,74,16,82T,378,1436,3.8,13,7,2,66,81,21.4,2,397,4986,12.6,31,74,16,82T,232,58.4,1,72,0,0,1,34,968,334,637,201,70,18,11,1033,8,6,38,21T,35,94.6,32,100,0,0,0,0,0,0,5,0.2
Saints,2021,504,293,58.1,6.8,3437,29,13,87.4,165,32.7,41,8,72,37,251,510,1991,3.9,12,9,1,44,113,22.2,2,293,3437,11.7,29,41,8,72,165,56.3,3,43,0,220,78,21,11,1051,592,369,62.3,7,4131,20,18,81.7,185,31.2,56,11,84T,426,1589,3.7,12,9,1,58T,84,19.7,4,369,4131,11.2,20,56,11,84T,185,50.1,4,81,0,0,2,46,1013,346,689,240,89,21,9,1064,13,7,313,53T,25,83.3,31,81.6,0,0,0,0,0,0,15,0.066666667
Seahawks,2021,495,324,65.4,7.7,3815,30,7,103,166,33.5,56,12,84,46,383,413,2074,5,18,18,3,73,106,25.7,4,324,3815,11.8,30,56,12,84,166,51.2,6,49,1,193,72,11,4,954,658,443,67.3,7.2,4766,24,11,93.6,240,36.5,49,8,76T,509,1932,3.8,16,8,1,60T,124,24.4,5,443,4766,10.8,24,49,8,76T,240,54.2,1,80,0,1,0,34,1261,472,709,224,88,31,13,1201,9,7,92,29,17,73.9,44,93.6,1,0,0,0,0,0,7,0.142857143
